H57,H47,H35,Mean57,SD57,Max57,Min57,Mean47,SD47,Max47,Min47,Mean35,SD35,Max35,Min35,MeanWD,SDWD,MaxWD,MinWD,MeanTemp,SDTemp,MaxTemp,MinTemp,Date,Time
57,47,35,5.17,0.95,7.61,2.65,5.14,1.04,7.99,2.65,5.22,1.04,7.24,2.65,212,10,206,0,15.7,0,15.9,15.3,11/16/2010,12:00:00
57,47,35,4.6,1.04,7.61,2.65,4.57,1.13,8.37,2.26,4.65,1.18,8.77,1.88,232,15,210,0,16,0.2,16.2,15.3,11/16/2010,12:10:00
57,47,35,4.04,1.18,6.85,1.5,4.13,1.13,7.24,1.12,4.24,1.23,7.99,0.35,228,17,232,0,16.3,0.1,16.7,15.9,11/16/2010,12:20:00
57,47,35,4.13,0.99,7.24,2.26,4.29,1.13,7.61,1.88,4.35,1.47,7.61,1.12,229,14,231,0,16.7,0.1,17,16.2,11/16/2010,12:30:00
57,47,35,4.76,1.13,7.24,1.88,4.78,1.13,6.85,1.88,4.71,1.18,7.24,1.12,221,18,190,0,16.8,0.1,17.3,16.5,11/16/2010,12:40:00
57,47,35,5.12,1.23,7.99,1.5,5.27,1.08,7.99,2.65,5.5,1.04,8.77,3.41,218,14,218,0,17.3,0,17.6,17,11/16/2010,12:50:00
57,47,35,6.84,1.82,11.45,3.03,6.96,1.82,11.82,3.03,7.29,1.74,11.45,3.03,219,13,218,0,17.3,0,17.6,17,11/16/2010,13:00:00
57,47,35,6.42,1.29,10.67,3.41,6.51,1.47,11.45,3.8,6.83,1.74,11.82,3.41,224,15,207,0,17.8,0,17.9,17.6,11/16/2010,13:10:00
57,47,35,5.89,2.07,10.67,1.88,6.19,1.9,10.67,2.26,6.45,1.98,11.45,2.26,234,12,236,0,17.6,0.1,17.9,17.3,11/16/2010,13:20:00
57,47,35,6.51,1.4,10.29,2.65,6.84,1.34,10.29,3.03,7.49,1.6,11.07,2.65,230,15,241,0,18,0.1,18.4,17.9,11/16/2010,13:30:00
57,47,35,6.52,2.26,12.59,2.65,6.91,1.9,11.45,3.03,7.37,1.82,11.45,3.41,233,12,262,0,17.9,0,18.4,17.9,11/16/2010,13:40:00
57,47,35,6.82,1.53,10.67,2.65,7.15,1.6,11.82,3.41,7.45,1.74,12.2,4.17,233,12,231,0,18.4,0,18.7,17.9,11/16/2010,13:50:00
57,47,35,7.4,1.74,12.96,3.8,7.75,1.53,11.82,4.56,8.42,1.6,12.2,4.17,236,10,227,0,18.5,0.1,19,17.9,11/16/2010,14:00:00
