Date,Max49
7/2/2003,7.24
7/2/2003,7.61
7/2/2003,7.61
7/2/2003,7.99
7/2/2003,7.99
7/2/2003,8.77
7/3/2003,8.77
7/3/2003,8.77
7/3/2003,8.77
7/3/2003,9.15
7/3/2003,9.54
7/3/2003,9.54
7/3/2003,9.15
7/3/2003,9.15
7/3/2003,9.54
7/3/2003,9.15
7/3/2003,9.15
7/3/2003,9.54
7/3/2003,9.54
7/3/2003,9.15
7/3/2003,9.15
7/3/2003,9.15
7/3/2003,9.92
7/3/2003,9.54
7/3/2003,9.54
7/3/2003,9.54
7/3/2003,10.29
7/3/2003,10.29
7/3/2003,10.29
7/3/2003,10.29
7/3/2003,9.92
7/3/2003,10.29
7/3/2003,11.82
7/3/2003,11.45
7/3/2003,9.92
7/3/2003,9.92
7/3/2003,9.54
7/3/2003,9.54
7/3/2003,5.71
7/3/2003,6.85
7/3/2003,7.61
7/3/2003,7.61
7/3/2003,7.24
7/3/2003,7.61
7/3/2003,6.85
7/3/2003,10.67
7/3/2003,9.15
7/3/2003,4.94
7/3/2003,4.94
7/3/2003,5.32
7/3/2003,6.47
7/3/2003,6.47
7/3/2003,5.71
7/3/2003,5.71
7/3/2003,6.47
7/3/2003,7.24
7/3/2003,7.61
7/3/2003,9.92
7/3/2003,11.07
7/3/2003,11.82
7/3/2003,11.07
7/3/2003,11.45
7/3/2003,10.29
7/3/2003,10.67
7/3/2003,11.07
7/3/2003,10.67
7/3/2003,12.59
7/3/2003,13.34
7/3/2003,13.73
7/3/2003,14.14
7/3/2003,14.87
7/3/2003,12.96
7/3/2003,12.96
7/3/2003,12.59
7/3/2003,13.34
7/3/2003,13.34
7/3/2003,13.34
7/3/2003,13.73
7/3/2003,14.52
7/3/2003,14.14
7/3/2003,13.34
7/3/2003,14.87
7/3/2003,14.52
7/3/2003,12.59
7/3/2003,13.34
7/3/2003,12.59
7/3/2003,10.67
7/3/2003,10.67
7/3/2003,10.67
7/3/2003,10.29
7/3/2003,11.45
7/3/2003,11.07
7/3/2003,9.15
7/3/2003,8.37
7/3/2003,8.77
7/3/2003,9.15
7/3/2003,7.99
7/3/2003,7.24
7/3/2003,6.85
7/3/2003,7.24
7/3/2003,6.85
7/3/2003,6.09
7/3/2003,6.47
7/3/2003,6.09
7/3/2003,6.09
7/3/2003,6.09
7/3/2003,5.32
7/3/2003,5.71
7/3/2003,6.85
7/3/2003,6.47
