Date,SD49
10/13/2007,0.54
10/13/2007,0.99
10/13/2007,1.90
10/13/2007,0.91
10/13/2007,0.73
10/13/2007,0.52
10/13/2007,0.52
10/13/2007,0.29
10/13/2007,0.62
10/13/2007,0.32
10/13/2007,0.32
10/13/2007,0.52
10/13/2007,0.67
10/13/2007,0.50
10/13/2007,0.47
10/13/2007,0.50
10/13/2007,0.38
10/13/2007,0.54
10/13/2007,0.47
10/13/2007,0.34
10/13/2007,0.40
10/13/2007,0.50
10/13/2007,0.40
10/13/2007,0.38
10/13/2007,0.40
10/13/2007,0.42
10/13/2007,0.67
10/13/2007,0.47
10/13/2007,0.44
10/13/2007,0.32
10/13/2007,0.34
10/13/2007,0.52
10/13/2007,0.32
10/13/2007,0.64
10/13/2007,0.40
10/13/2007,0.50
10/13/2007,0.70
10/13/2007,0.62
10/13/2007,0.52
10/13/2007,0.77
10/13/2007,0.54
10/13/2007,0.54
10/13/2007,0.52
10/13/2007,0.54
10/13/2007,0.73
10/13/2007,0.45
10/13/2007,0.42
10/13/2007,0.52
10/13/2007,0.45
10/13/2007,0.52
10/13/2007,0.44
10/13/2007,0.47
10/13/2007,0.52
10/13/2007,0.59
10/13/2007,0.62
10/13/2007,0.54
10/13/2007,0.70
10/13/2007,0.56
10/13/2007,0.50
10/13/2007,0.80
10/13/2007,0.67
10/13/2007,0.44
10/13/2007,0.52
10/13/2007,0.59
10/13/2007,0.73
10/13/2007,0.80
10/13/2007,0.95
10/13/2007,0.91
10/13/2007,0.45
10/13/2007,1.04
10/13/2007,0.64
10/13/2007,0.73
10/13/2007,0.91
10/13/2007,0.80
10/13/2007,1.29
10/13/2007,0.67
10/13/2007,0.59
10/13/2007,0.87
10/13/2007,0.70
10/13/2007,0.83
10/13/2007,0.70
10/13/2007,0.91
10/13/2007,0.8
10/13/2007,1.04
10/13/2007,0.87
10/13/2007,1.23
10/13/2007,0.87
10/13/2007,1.08
10/13/2007,1.04
10/13/2007,1.08
10/13/2007,0.91
10/13/2007,0.87
10/13/2007,0.91
10/13/2007,1.08
10/13/2007,0.91
10/13/2007,0.87
10/13/2007,0.99
10/13/2007,0.91
10/13/2007,0.91
10/13/2007,1.23
10/13/2007,0.64
10/13/2007,1.04
10/13/2007,0.99
10/13/2007,0.99
10/13/2007,0.83
10/13/2007,0.91
10/13/2007,0.95
10/13/2007,0.91
10/13/2007,0.73
10/13/2007,0.67
10/13/2007,0.95
10/13/2007,0.67
10/13/2007,0.70
10/13/2007,0.64
10/13/2007,0.64
10/13/2007,0.67
10/13/2007,0.77
10/13/2007,0.44
10/13/2007,0.54
10/13/2007,0.54
10/13/2007,0.35
10/13/2007,0.77
10/13/2007,0.62
10/13/2007,0.87
10/13/2007,0.73
10/13/2007,0.91
10/13/2007,1.18
10/13/2007,0.70
10/13/2007,0.91
10/13/2007,1.13
10/13/2007,1.23
10/13/2007,1.08
10/13/2007,0.80
10/13/2007,0.77
10/13/2007,0.83
10/13/2007,0.99
10/13/2007,0.95
10/13/2007,0.80
10/13/2007,0.91
10/13/2007,0.62
10/13/2007,0.70
10/13/2007,0.59
10/13/2007,0.56
10/13/2007,0.83
10/14/2007,0.70
10/14/2007,0.91
10/14/2007,0.70
10/14/2007,0.95
10/14/2007,0.77
10/14/2007,0.91
10/14/2007,0.87
10/14/2007,0.87
10/14/2007,0.87
10/14/2007,1.18
10/14/2007,0.95
10/14/2007,1.08
10/14/2007,1.18
10/14/2007,1.13
10/14/2007,1.04
10/14/2007,1.04
10/14/2007,1.40
10/14/2007,0.91
10/14/2007,1.29
10/14/2007,1.18
10/14/2007,1.18
10/14/2007,1.40
10/14/2007,1.60
10/14/2007,0.87
10/14/2007,1.18
10/14/2007,1.04
10/14/2007,0.87
10/14/2007,0.83
10/14/2007,0.91
10/14/2007,0.80
10/14/2007,0.80
10/14/2007,0.87
10/14/2007,0.73
